net,wires
"(1,2)","[(1,5,0)]"
"(1,3)","[(1,5,0)]"
"(3,5)","[(4,4,0)]"
"(4,2)","[(6,2,0)]"
"(4,5)","[(6,2,0)]"
"chip_0_net_1,65"
